severity,category,source_image,detail
error,invalid_image_or_label,train/images/20240211_150010_jpg.rf.eOPZ1KIGzyW5dOsToYMy.jpg,Non-default EXIF orientation: normalize image AND labels together before use.
error,invalid_image_or_label,train/images/20240211_150021_jpg.rf.xZ59dytRF0WdRQpQgv0j.jpg,Non-default EXIF orientation: normalize image AND labels together before use.
error,invalid_image_or_label,train/images/20240211_150102_jpg.rf.Vs2nPhOopYClyIOk0RK6.jpg,Non-default EXIF orientation: normalize image AND labels together before use.
error,invalid_image_or_label,train/images/20240211_150123_jpg.rf.Wqewt2oKFUxH0toQwnoe.jpg,Non-default EXIF orientation: normalize image AND labels together before use.
error,invalid_image_or_label,train/images/20240211_150146_jpg.rf.dI4bhl7mTtanGDPCK00b.jpg,Non-default EXIF orientation: normalize image AND labels together before use.
error,invalid_image_or_label,train/images/20240211_150233_jpg.rf.euoBmbbONr1dbQwK3lHG.jpg,Non-default EXIF orientation: normalize image AND labels together before use.
error,invalid_image_or_label,train/images/20240211_150303_jpg.rf.yCcdmeOPy2J45GIvMvUC.jpg,Non-default EXIF orientation: normalize image AND labels together before use.
error,invalid_image_or_label,train/images/20240211_150321_jpg.rf.HmDitqUqvtp2rVzHwTJ3.jpg,Non-default EXIF orientation: normalize image AND labels together before use.
error,invalid_image_or_label,train/images/20240211_150534_jpg.rf.WtyNPlcCcDxm5df1dvCB.jpg,Non-default EXIF orientation: normalize image AND labels together before use.
error,invalid_image_or_label,train/images/20240211_150824_jpg.rf.NtFKbmfecPF0oyPRlkjs.jpg,Non-default EXIF orientation: normalize image AND labels together before use.
error,invalid_image_or_label,train/images/20240211_150952_jpg.rf.Jn4EsfHqi2U8Y15EfBk7.jpg,Non-default EXIF orientation: normalize image AND labels together before use.
error,invalid_image_or_label,train/images/20240211_151030_jpg.rf.kXELfwwx2IOEr94LloBe.jpg,Non-default EXIF orientation: normalize image AND labels together before use.
error,invalid_image_or_label,train/images/20240211_151217_jpg.rf.K6Ah0XoWGngRKLfa6erd.jpg,Non-default EXIF orientation: normalize image AND labels together before use.
error,invalid_image_or_label,train/images/20240211_151437_jpg.rf.rPDQUYMHoPhZmncJvkVJ.jpg,Non-default EXIF orientation: normalize image AND labels together before use.
error,invalid_image_or_label,train/images/20240211_151516_jpg.rf.rQOyVUxHu2PYS9zE5Ent.jpg,Non-default EXIF orientation: normalize image AND labels together before use.
error,invalid_image_or_label,train/images/20240211_151545_jpg.rf.v1ciwXDiqd0pfPlfyuFJ.jpg,Non-default EXIF orientation: normalize image AND labels together before use.
error,invalid_image_or_label,train/images/20240211_151646_jpg.rf.WEzXWjCh38U5enrNzeJy.jpg,Non-default EXIF orientation: normalize image AND labels together before use.
error,invalid_image_or_label,train/images/20240211_151912_jpg.rf.HIrEbFgPYrG2ZmYH3evV.jpg,Non-default EXIF orientation: normalize image AND labels together before use.
error,invalid_image_or_label,train/images/20240211_152343_jpg.rf.KRZXQZxHbToR9A7zzG6T.jpg,Non-default EXIF orientation: normalize image AND labels together before use.
error,invalid_image_or_label,train/images/20240211_152451_jpg.rf.uPko29iRWRO0NHNH19OQ.jpg,Non-default EXIF orientation: normalize image AND labels together before use.
error,invalid_image_or_label,train/images/20240211_152622_jpg.rf.rS6KmHfynoatGPqul3O9.jpg,Non-default EXIF orientation: normalize image AND labels together before use.
error,invalid_image_or_label,train/images/20240211_152644_jpg.rf.ZboXmHptqs6PcHKmJng8.jpg,Non-default EXIF orientation: normalize image AND labels together before use.
error,invalid_image_or_label,train/images/20240211_152649_jpg.rf.94GN8IKQfKjPuhk5XqvV.jpg,Non-default EXIF orientation: normalize image AND labels together before use.
error,invalid_image_or_label,train/images/20240211_152703_jpg.rf.Dl1w1wCCkJdGTO2EwR7t.jpg,Non-default EXIF orientation: normalize image AND labels together before use.
error,invalid_image_or_label,train/images/20240211_153539_jpg.rf.xPWBn4wdY12N1dmRaWbW.jpg,Non-default EXIF orientation: normalize image AND labels together before use.
error,invalid_image_or_label,train/images/20240211_153813_jpg.rf.xGYh7fOXRWttcEpJwdzr.jpg,Non-default EXIF orientation: normalize image AND labels together before use.
error,invalid_image_or_label,train/images/20240211_153905_jpg.rf.fJ5E6HWEvsq8dJrIc90N.jpg,Non-default EXIF orientation: normalize image AND labels together before use.
error,invalid_image_or_label,train/images/20240211_153907_jpg.rf.0Y3WWjTYsqHUEh4b4H0C.jpg,Non-default EXIF orientation: normalize image AND labels together before use.
error,invalid_image_or_label,train/images/20240211_154046_jpg.rf.Ajj1vu7u9I8VhaZvALIJ.jpg,Non-default EXIF orientation: normalize image AND labels together before use.
error,invalid_image_or_label,train/images/20240211_154059_jpg.rf.MW0VEeh9bAXeSXif1sKo.jpg,Non-default EXIF orientation: normalize image AND labels together before use.
error,invalid_image_or_label,train/images/20240211_154130_jpg.rf.kcTKrdUAXR8RxG4lBiMk.jpg,Non-default EXIF orientation: normalize image AND labels together before use.
error,invalid_image_or_label,train/images/20240211_154134_jpg.rf.Mnqr1JOT0IruBuLAmRQq.jpg,Non-default EXIF orientation: normalize image AND labels together before use.
error,invalid_image_or_label,train/images/20240211_154234_jpg.rf.iADt1F4mpXx5q1nEPMKo.jpg,Non-default EXIF orientation: normalize image AND labels together before use.
error,invalid_image_or_label,train/images/20240211_154256_jpg.rf.IAvkhEAFfPkJcKVXLaaw.jpg,Non-default EXIF orientation: normalize image AND labels together before use.
error,invalid_image_or_label,train/images/20240211_154423_jpg.rf.3sehtHvuginVhzm67cov.jpg,Non-default EXIF orientation: normalize image AND labels together before use.
error,invalid_image_or_label,train/images/20240211_154432_jpg.rf.daRIQ5wVWqH4rpUnAUdu.jpg,Non-default EXIF orientation: normalize image AND labels together before use.
error,invalid_image_or_label,train/images/20240211_154444_jpg.rf.LkADU5ZkhuAvxdSpBpFQ.jpg,Non-default EXIF orientation: normalize image AND labels together before use.
error,invalid_image_or_label,train/images/20240211_154447_jpg.rf.PbdjhbTzLgVf9hgTFyZm.jpg,Non-default EXIF orientation: normalize image AND labels together before use.
error,invalid_image_or_label,train/images/20240211_154502_jpg.rf.OrMRIMNq85gl2FX3jvJF.jpg,Non-default EXIF orientation: normalize image AND labels together before use.
error,invalid_image_or_label,train/images/20240211_154519_jpg.rf.bzIX4hFN22KNgR0WLWhv.jpg,Non-default EXIF orientation: normalize image AND labels together before use.
error,invalid_image_or_label,train/images/20240211_154535_jpg.rf.KNoUSWcJ6QPkYCK36OZ4.jpg,Non-default EXIF orientation: normalize image AND labels together before use.
error,invalid_image_or_label,train/images/20240211_154554_jpg.rf.gwGZtODaATtx8y9v90OV.jpg,Non-default EXIF orientation: normalize image AND labels together before use.
error,invalid_image_or_label,train/images/20240211_154707_jpg.rf.ymZ3SdSaaHtQQLcbSs3n.jpg,Non-default EXIF orientation: normalize image AND labels together before use.
error,invalid_image_or_label,train/images/20240211_154713_jpg.rf.Hj8Rz85ztUDXSUMRZtAY.jpg,Non-default EXIF orientation: normalize image AND labels together before use.
error,invalid_image_or_label,train/images/20240211_154742_jpg.rf.kWaxYPOOqrkmV8o3d4Co.jpg,Non-default EXIF orientation: normalize image AND labels together before use.
error,invalid_image_or_label,train/images/20240211_161423_jpg.rf.v5QUuIZAI5rrYSN3MK4H.jpg,Non-default EXIF orientation: normalize image AND labels together before use.
error,invalid_image_or_label,train/images/20240211_161718_jpg.rf.mAKGfxM8R0iqygqg7Oeg.jpg,Non-default EXIF orientation: normalize image AND labels together before use.
error,invalid_image_or_label,train/images/20240211_162119_jpg.rf.GjzDXR5TfmSJuUwhDgDd.jpg,Non-default EXIF orientation: normalize image AND labels together before use.
error,invalid_image_or_label,train/images/20240211_162204_jpg.rf.PTSbVBexq55yYbG7vFQt.jpg,Non-default EXIF orientation: normalize image AND labels together before use.
error,invalid_image_or_label,train/images/20240211_162211_jpg.rf.CMK1o0CMcbPxfyxvh4XN.jpg,Non-default EXIF orientation: normalize image AND labels together before use.
