run_mode,split,variant,mAP50_ultralytics,mAP50_95_ultralytics,precision_ultralytics,recall_ultralytics,images,tp,fp,fn,precision_fixed,recall_fixed,f1_fixed,mean_polygon_iou_matched,confidence_threshold,polygon_iou_threshold,nms_iou_threshold
smoke,val,clean,0.016540231850388862,0.0027716223663413224,0.0030425963488843813,0.75,4,0,0,4,0.0,0.0,0.0,,0.25,0.5,0.7
smoke,val,motion_blur,0.006494256964533837,0.0019330340330136748,0.003257328990228013,0.75,4,0,0,4,0.0,0.0,0.0,,0.25,0.5,0.7
smoke,val,defocus_blur,0.00523005644811116,0.0020643070945386478,0.002285714285714286,0.5,4,0,0,4,0.0,0.0,0.0,,0.25,0.5,0.7
smoke,val,gaussian_blur,0.016311475409836067,0.005915807517774005,0.004555808656036446,1.0,4,0,0,4,0.0,0.0,0.0,,0.25,0.5,0.7
smoke,test,clean,0.002018503442895424,0.0009141518531055442,0.0017921146953405018,0.5,4,0,0,4,0.0,0.0,0.0,,0.25,0.5,0.7
smoke,test,motion_blur,0.002895931066387144,0.0006714147900384803,0.002026342451874367,0.5,4,0,0,4,0.0,0.0,0.0,,0.25,0.5,0.7
smoke,test,defocus_blur,0.002409066372224267,0.000550368052999632,0.002105263157894737,0.5,4,0,0,4,0.0,0.0,0.0,,0.25,0.5,0.7
smoke,test,gaussian_blur,0.0025897921712406363,0.0005179584342481273,0.0022650056625141564,0.5,4,0,0,4,0.0,0.0,0.0,,0.25,0.5,0.7
