run_mode,split,variant,mAP50_ultralytics,mAP50_95_ultralytics,precision_ultralytics,recall_ultralytics,images,tp,fp,fn,precision_fixed,recall_fixed,f1_fixed,mean_polygon_iou_matched,confidence_threshold,polygon_iou_threshold,nms_iou_threshold
full,val,clean,0.9890193634816976,0.9296154385236756,0.9834595538360187,0.9585798816568047,792,820,34,25,0.9601873536299765,0.9704142011834319,0.9652736904061212,0.8868208437133213,0.25,0.5,0.7
full,test,clean,0.9849576629277238,0.9292046413405931,0.971552208668654,0.994722592332199,388,407,14,5,0.9667458432304038,0.9878640776699029,0.9771908763505402,0.8850389827982482,0.25,0.5,0.7
